name,address,phone,email,contact_person,manager,type,status,interest,site,activity,comment,legal_name,legal_address,inn,kpp,payment_account,bank,corr_account,personal_account,bik,director,accountant,okato
Байкал сервис,"420087 г. Казань, ул. Гвардейская, 59б",(843) 298-94-97,baikal-kazan@mail.ru,,Иванов Иван,Обзвон,Отправить КП,Да,http://www.baikalsr.ru,,,"ЗАО ""Байкал сервис""","420087 г. Казань, ул. Гвардейская, 59б",,,,,,,,,,
Банзай,"420095 г. Казань, ул. Васильченко, 1, офис 508",(843) 542-56-97,banzay-kazan@bk.ru,,,Обзвон,Отправить КП,Нет,http://www.banzay.ru,,заинтересовались,ИП Банзаев Ю.В.,"420095 г. Казань, ул. Васильченко, 1, офис 508",,,,,,,,,,
Бонжур,,,,,,Клиент,Новый,Да,,,,Бонжур,,,,,,,,,,,
Водовозов ,"ул. Тверская, 17",777-7777,info@vodovozov.ru,,Иванов Иван,Партнер,Желание,Да,vodovozov.ru,доставка воды,"Заказывать заранее за один день.
Обменивают бутыли не старше 5 лет.","ООО ""Водовозов""","ул. Тверская, 17",35784739743,84634386543,65468320943285,Репаблик,46574385743,,654757546456,Сафронов А. И.,Саврасов М. Н.,67536
Гилиус,"420051 г. Казань, ул. Химическая, 11, а/я 50",(843) 570-97-30,apolimer@mail.ru,,Administrator,Обзвон,Отправить КП,Да,,,,"ЗАО ""Гилиус""","420051 г. Казань, ул. Химическая, 11, а/я 50",,,,,,,,,,
Джокер,"Казань, Гаврилова, 51",8435651122,joker@test.ru,Краснова Людмила Геориевна,Иванов Иван,Клиент,Новый,Да,,лотерея,,Джокер,"Казань, Гаврилова, 51",,,,,,,,,,
ИнтелКом ,"ул. Циско, 21",444-4444,info@intelcom.ru,,Иванов Иван,Партнер,Новый,Да,intelcom.ru,интернет провайдер,"Безлимитки
256Кб - 800 руб.
512Кб - 1400 руб.
1Мб - 2000 руб.","ООО ""ИнтелКом""","ул. Циско, 21",3578943543,57645754745,67554745745,658765765765,43645645654,,43645375364,Алексеев И. И.,Тарасенко Л. В.,46732
Карттранс,"420087 г. Казань, ул. Родина, 7",(843) 273-18-02,sale@karttrans.ru,,Administrator,Обзвон,Отправить КП,Да,http://www.karttrans.com,,,"ООО ""Карттранс""","420087 г. Казань, ул. Родина, 7",,,,,,,,,,
Кит,"Казань, ул.Фатыха Карима, д.34",234-34-43,,,Иванов Иван,Обзвон,Важный,Да,,it - аутсорсинг,,ИП Китовский М.Ш.,"Казань, ул.Фатыха Карима, д.34",,,,,,,,,,
Ключ-сервис,"377636 Казань ул.Калинина, 2",234-43-23,office@ckluch.ru,,,Клиент,Новый,Да,www.ckluch.ru,,,"ООО ""Ключ-сервис""","377636 Казань ул.Калинина, 2",35436457,457658658,65865865765,Строитель,4537654745,,754745654,Амирханов А. И.,Тимощук С. Т.,45325
Комис,"420029 г. Казань, ул. Журналистов, 6","(843) 277-94-77, 277-94-94",alex@komisgroup.ru,,Иванов Иван,Обзвон,Отправить КП,Да,http://www.komisgroup.ru,,,"ЗАО ""Комис""","420029 г. Казань, ул. Журналистов, 6",,,,,,,,,,
Комус,,,,,Тихонова Мария,Партнер,Новый,Да,,,,Комус,,,,,,,,,,,
Краузе энд Краузе,"420029 г. Казань, ул. Сибирский тракт, 34, корпус 4, офис 320, 321, 323, 324",(843) 238-48-10,giga-line@gig250.ru,,Иванов Иван,Обзвон,Отправить КП,Да,,,,"ОАО ""Краузе энд Краузе""","420029 г. Казань, ул. Сибирский тракт, 34, корпус 4, офис 320, 321, 323, 324",,,,,,,,,,
Кроун,"ул. Белорусских партизан, 3",555-5555,,,Иванов Иван,Партнер,Важный,Да,,аренда офиса,оплата каждый месяц до 20-го числа,"ООО ""Кроун""","ул. Белорусских партизан, 3",356743657389,375875328532,3875043285904,Сбербанк,5674587645745,,57455474,Авдеенко С. Т.,Титов Г. Г.,36583
Лизинг-трейд,"420021 г. Казань, ул. Г. Камала, 41, офис 611","(843) 293-93-94, 299-12-52",kazan@leasing-trade.ru,,Кротов Семен,Партнер,Оповещен,Да,http://www.leasing-trade.ru,,отказались,"ООО ""Лизинг-трейд""","420021 г. Казань, ул. Г. Камала, 41, офис 611",,,,,,,,,,
Ломжа,"420108 г. Казань, ул. Магистральная, 55","(843) 278-84-47, 278-84-37",lomja@telebit.ru,,Кротов Семен,Обзвон,Новый,Нет,,,,"ООО ""Ломжа""","420108 г. Казань, ул. Магистральная, 55",,,,,,,,,,
Ломжа dental,"420132 г. Казань, ул. Адоратского, 29б; 420138 Гарифьянова, 25","(843) 556-55-55, 541-00-52",dentalor@mail.ru,,Кротов Семен,Обзвон,Оповещен,Да,,,,"ООО ""Ломжа дентал""","420132 г. Казань, ул. Адоратского, 29б; 420138 Гарифьянова, 25",,,,,,,,,,
Март,"420073 г. Казань, ул. А. Кутуя, 16",(843) 295-69-02,mart-m@mi.ru,,Administrator,Обзвон,Оповещен,Да,,,,ИП Мартовский А.Г.,"420073 г. Казань, ул. А. Кутуя, 16",,,,,,,,,,
Мегалит,"420132 г. Казань, ул. Маршала Чуйкова, 60, офис 2-2","(843) 555-555-3, 545-51-96",kazan@ooomegalit.ru,,Кротов Семен,Обзвон,Желание,Да,http://www.ooomegalit.ru,,,"ООО ""Мегалит""","420132 г. Казань, ул. Маршала Чуйкова, 60, офис 2-2",,,,,,,,,,
Нефтесервис,"423462, Республика Татарстан, г. Альметьевск,  ул. Советская, стр. 165А",(8553) 32-44-55,nservis_almet@mail.ru,Иван Игнатьевич,Иванов Иван,Клиент,Отправить КП,Да,www.nservis.ru,,"Быстро оплачивают, но требовательны!","ООО ""Нефтесервис""","423462, Республика Татарстан, г. Альметьевск,  ул. Советская, стр. 165А",58738573,75897250832,305825098320,СберБанк,3675327032,,75328503285,Тихоненко А. А.,Самойленко В. И.,36575
"ООО ""Гарант Безопасность""",,(843)708-111,garant-bezopas@gmail.com,,Иванов Иван,Клиент,Новый,Да,,,,"ООО ""Гарант Безопасность""",,,,,,,,,,,
Пифагор ,"ул. Ямская, 5",666-6666,info@pifagor.ru,,Иванов Иван,Партнер,Новый,Да,www.pifagor.ru,заправка картирджей,Оставляют картридж на смену!!,"ООО ""Пифагор""","ул. Ямская, 5",634536873,43679279532,987589328952,Ак Банк,43584389372,57298759832,,Михайлеченко Н. И.,Мандрыкин Т. Ф.,35432
Проммаш,"290929 Казань ул. Пушкина, 28",290-473,info@office.ru,Петр Васильевич,,Клиент,Важный,Да,www.office.ru,,,"ООО ""Проммашсервис""","290929 Казань ул. Пушкина, 28",365737298,435389758392,37593288732,СтроДомБанк,3875893275,,375925328,Бушманов Ф. Т.,Булатова Ю. Ф.,43758
Протект-гарант,"293899 г.Казань ул. Сафьян, д.2",234-45-66,office@protect.ru,,Иванов Иван,Клиент,Новый,Да,www.protect.ru,,,"ООО ""Протект-гарант""","293899 г.Казань ул. Сафьян, д.2",4365375325,43287589325,387598325892,КамКомБанк,35632789,,3579832895,Филатова Н. А.,Филатова Н. А.,36543
Пульс-радио,"420066 г. Казань, ул. Декабристов, 2","(843) 249-10-33, 541-39-09, 541-39-10",radiopuls@mail.ru,,Administrator,Обзвон,Желание,Да,http://www.pulsfm.ru,,,"ООО ""Радио пульс""","420066 г. Казань, ул. Декабристов, 2",,,,,,,,,,
Рабочая правда,"Казань, ул.Фатыха Карима, д.34",234-34-43,,,Иванов Иван,Партнер,Новый,Да,www.frezer.ru,производство втулок,,"ООО ""Типография Семенова""","Казань, ул.Фатыха Карима, д.34",,,,,,,,,,
Сатурн,"г. Москва ,Лукина 5",(495) 7-385-115,info@saturn.ru,,,Обзвон,Оповещен,Нет,,,,"ООО ""Сатурн""","г. Москва ,Лукина 5",45454646,456436436,43643643634,Джи Мани,352435432,,354343646,Тарасов Иван Леонидович,Михайлов Сергей Генадьевич,33445
Сатурн-вега,,(843) 512-11-77,pr@saturn.ru,,Иванов Иван,Клиент,Новый,Да,www.saturn.ru,недвижимость,,"ООО ""Сатурн-вега""",,,,,,,,,,,
Скарабей-тур,"420029 г. Казань, ул. Журналистов, 1/16, оф. 313","(843) 513-10-00, 272-65-46",scarabei@mi.ru,,Administrator,Обзвон,Отправить КП,Да,,,,"ООО ""Скарабей-тур""","420029 г. Казань, ул. Журналистов, 1/16, оф. 313",,,,,,,,,,
Сэнк,"420111 г. Казань, ул. Левобулачная, 24/1","(843) 292-92-80, 526-00-00, 526-03-70",audit@senk.ru,,Иванов Иван,Обзвон,Интерес,Да,http://www.senk.ru,,,"ООО ""Сэнк""","420111 г. Казань, ул. Левобулачная, 24/1",,,,,,,,,,
Татметалл,"422700 Татарстан, Высокогорский район, с. Высокая Гора","(843) 291-51-93, 291-51-51, 291-51-52",tatmet@mi.ru,,Administrator,Обзвон,Отправить КП,Да,http://www.tatmetall.ru,,,"ЗАО ""Татметалл""","422700 Татарстан, Высокогорский район, с. Высокая Гора",,,,,,,,,,
Тонус,"ул. Налоговая, 21",+7 845 333 33 33,tonus@tonus.ru,Галанин Владимир,Иванов Иван,Партнер,Желание,Да,www.nalogam.net,бухгалтерский аутсорсинг,,"ЗАО ""Тонус"" ","ул. Налоговая, 21",65436436443,43643643,46453643,МоскоуБанк,43654364343,,4645665856,Тагиров,Исмагилов,78549
Три нити,"420012 г. Казань, ул. Муштари, 12","(843) 238-62-30, 526-78-26, 248-54-01",niti@bk.ru; pr@3niti.ru,,Иванов Иван,Обзвон,Оповещен,Нет,http://www.3niti.ru,,,ИП Тринитеев Г.Б.,"420012 г. Казань, ул. Муштари, 12",,,,,,,,,,
Турбо-слим,,89083359555,test@test.com,,Administrator,Клиент,Новый,Да,,,,Турбо-слим,1,,,,,,,,,,
ЦУМ,"420111 г. Казань, ул. Московская, 2","(843) 292-30-25, 292-11-38",info@kazantsum.ru,,Иванов Иван,Обзвон,Важный,Да,http://www.kazantsum.ru,,,"ЗАО ""Центральный универсальный магазин""","420111 г. Казань, ул. Московская, 2",,,,,,,,,,
Шип,"420043 г. Казань, ул. Чехова, 9","(843) 238-03-77, 299-78-44",ship-k1@mail.ru,,Administrator,Обзвон,Важный,Да,,,,"ООО ""Шип""","420043 г. Казань, ул. Чехова, 9",,,,,,,,,,
Юринфо,"420107 г. Казань, ул. Петербургская, 40 ","(843) 537-11-00, 537-11-11, 537-12-00, 537-12-12, 537-13-00, 537-13-13",centr@tatconsult.ru,,,Обзвон,Оповещен,Да,http://www.tatconsult.ru,,,"ООО ""Юринфо""","420107 г. Казань, ул. Петербургская, 40 ",,,,,,,,,,
